LevelID	MatiereID	Coef
311011	0101	3
311011	0201	2.5
311011	0301	1.5
311011	0501	1.5
311011	0502	1.5
311011	0801	3
311011	0901	2.5
311011	1002	1.5
311011	1102	1
311011	0801	3
311011	0901	2.5
311011	1102	1
311011	0201	2.5
311011	0201	2.5
311011	0301	1.5
311011	0501	1.5
311011	0502	1.5
311011	0801	3
312102	2101	0
312202	0201	2
312202	0801	4
312202	0901	4
312202	1002	2
312202	0201	2
312202	0801	4
312202	0901	4
312202	1002	2
312202	0201	2
312202	0801	4
312202	0901	4
312202	1102	2
312202	0201	2
312202	0801	4
312202	0901	4
312202	2001	0
312202	0101	3
312202	0201	2
312202	0301	2
312202	0501	1
312202	0502	1
312402	2101	0
312402	0101	3
312402	0201	2
312402	0301	2
312402	0501	1.5
312402	0502	1.5
312302	2101	0
312302	1102	2
312302	0801	2.5
312302	0901	2.5
312302	0201	2
312302	0801	2.5
312302	0901	2.5
312302	0201	2
312102	0801	1
312102	0901	0
312102	1002	1
312102	1102	0
312102	0801	1
312102	0901	0
312102	1102	0
312102	0201	4
312102	0201	4
312102	0301	3
312102	0501	1.5
312102	0502	1.5
312102	0801	1
312202	0101	2
312202	0201	2
312202	0301	2
312202	0501	1
312202	0502	1
312202	0801	4
312202	0901	4
312202	1102	2
312202	0201	2
312202	0201	2
312202	0301	2
312202	0501	1
312102	0801	2.5
312102	0501	1
312102	0502	1
312102	0201	2
312102	0301	2
312302	0301	2
312202	0502	1
312202	0801	4
312302	0101	2
312302	0201	2
312302	0301	2
312302	0501	1
312302	0502	1
312302	0801	2.5
312302	0901	2.5
312302	1002	0
312302	1102	2
312302	0201	2
312302	0301	2
312302	0501	1
312302	0502	1
312302	0801	2.5
312402	0101	2
312402	0201	2
312402	0301	2
312402	0501	1.5
312402	0502	1.5
312402	0801	2.5
312402	0901	0
312402	1002	0
312402	1102	0
312402	0801	2.5
312402	0901	0
312402	1102	0
312402	0201	2
